scenario,rep_id,audit_era,n_test_iters,n_flagged,threshold,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,first_lat_s,treatment
A_idle,A_idle_rep100_1779812502,rich,1564,432,48308.0,357,75,0,0,0,0,447.90652108192444,inf,T1_max
A_idle,A_idle_rep101_1779813494,rich,1533,468,48032.0,393,75,0,0,0,0,441.0840368270874,inf,T1_max
A_idle,A_idle_rep102_1779814486,rich,1584,241,48103.0,207,34,0,0,0,0,450.78722071647644,inf,T1_max
A_idle,A_idle_rep103_1779815470,rich,1537,0,48286.0,0,0,0,0,0,0,453.01601481437683,inf,T1_max
A_idle,A_idle_rep104_1779816455,rich,1537,47,48328.0,40,7,0,0,0,0,448.08638429641724,inf,T1_max
A_idle,A_idle_rep105_1779817412,rich,1547,297,48272.0,244,53,0,0,0,0,439.65822744369507,inf,T1_max
A_idle,A_idle_rep106_1779818394,rich,1542,471,48106.0,399,72,0,0,0,0,442.7219715118408,inf,T1_max
A_idle,A_idle_rep107_1779819402,rich,1534,465,48099.0,384,81,0,0,0,0,440.2585873603821,inf,T1_max
A_idle,A_idle_rep108_1779820360,rich,1547,0,48139.0,0,0,0,0,0,0,446.6120960712433,inf,T1_max
A_idle,A_idle_rep109_1779821454,rich,1761,336,48133.0,272,64,0,0,0,0,492.8585739135742,inf,T1_max
A_idle,A_idle_rep10_1779805584,rich,1599,205,48335.0,182,23,0,0,0,0,444.49448919296265,inf,T1_max
A_idle,A_idle_rep1_1779763627,rich,1593,0,48078.0,0,0,0,0,0,0,437.6029624938965,inf,T1_max
A_idle,A_idle_rep1_1779764866,rich,1489,470,48067.0,97,65,0,117,191,0,443.06332087516785,inf,T1_max
A_idle,A_idle_rep1_1779792575,rich,1550,466,48126.0,395,71,0,0,0,0,442.9143362045288,inf,T1_max
A_idle,A_idle_rep2_1779765851,rich,1543,479,48291.0,82,55,0,134,208,0,443.6004045009613,inf,T1_max
A_idle,A_idle_rep2_1779793556,rich,1533,439,48283.0,366,73,0,0,0,0,446.3375289440155,inf,T1_max
A_idle,A_idle_rep3_1779766966,rich,1622,468,48302.0,68,49,0,148,203,0,445.6621115207672,inf,T1_max
B_flow_install,B_flow_install_rep1_1779767967,rich,1495,330,48065.0,66,45,0,90,129,0,450.23384189605713,inf,T1_max
B_flow_install,B_flow_install_rep2_1779768974,rich,1517,341,48070.0,70,50,0,95,126,0,446.65291690826416,inf,T1_max
B_flow_install,B_flow_install_rep3_1779769963,rich,1593,0,48327.0,0,0,0,0,0,0,450.0884459018707,inf,T1_max
C_ping_sustained,C_ping_sustained_rep1_1779772300,rich,1676,539,48082.0,100,67,0,158,214,0,502.42786169052124,inf,T1_max
C_ping_sustained,C_ping_sustained_rep2_1779773392,rich,1709,520,48156.0,103,70,0,137,210,0,495.639041185379,inf,T1_max
C_ping_sustained,C_ping_sustained_rep3_1779774602,rich,1650,0,48180.0,0,0,0,0,0,0,496.4184296131134,inf,T1_max
D_attack_flush,D_attack_flush_rep10_1779803000,rich,1501,266,48080.0,231,11,24,0,0,0,441.1401252746582,0.08845901489257812,T1_max
D_attack_flush,D_attack_flush_rep11_1779808057,rich,1525,309,48078.0,263,17,29,0,0,0,441.05113911628723,0.22173380851745605,T1_max
D_attack_flush,D_attack_flush_rep1_1779775605,sparse,1548,315,48103.0,44,13,155,49,54,0,446.97479796409607,0.5079786777496338,T1_max
D_attack_flush,D_attack_flush_rep1_1779794528,rich,1451,488,48068.0,417,45,26,0,0,0,445.5994279384613,0.26987743377685547,T1_max
D_attack_flush,D_attack_flush_rep1_1779897245,rich,1611,486,48258.0,393,59,34,0,0,0,484.84301948547363,0.7310137748718262,T1_max
D_attack_flush,D_attack_flush_rep1_1779898343,rich,1677,320,48267.0,252,30,38,0,0,0,486.55622005462646,0.5970337390899658,T1_max
D_attack_flush,D_attack_flush_rep1_1779899387,rich,1645,507,48142.0,420,60,27,0,0,0,481.2320005893707,0.2765200138092041,T1_max
D_attack_flush,D_attack_flush_rep1_1779900393,rich,1656,189,48098.0,156,0,33,0,0,0,482.78136706352234,1.0579731464385986,T1_max
D_attack_flush,D_attack_flush_rep1_1779901468,rich,1645,519,48254.0,422,62,35,0,0,0,486.61102175712585,0.6194789409637451,T1_max
D_attack_flush,D_attack_flush_rep1_1779902496,rich,1743,519,48128.0,440,50,29,0,0,0,492.8745684623718,0.006601572036743164,T1_max
D_attack_flush,D_attack_flush_rep1_1779903540,rich,1690,518,48271.0,437,53,28,0,0,0,482.6039001941681,0.21721959114074707,T1_max
D_attack_flush,D_attack_flush_rep1_1779904598,sparse,1644,510,48299.0,121,49,144,81,115,0,494.5570583343506,0.4243941307067871,T1_max
D_attack_flush,D_attack_flush_rep1_1779905617,sparse,1686,185,45111.0,47,0,138,0,0,0,482.7057213783264,0.5915873050689697,T1_max
D_attack_flush,D_attack_flush_rep1_1779906668,sparse,1668,505,48272.0,99,25,142,94,145,0,481.37711477279663,0.23378634452819824,T1_max
D_attack_flush,D_attack_flush_rep1_1779907752,sparse,1716,509,48062.0,115,51,150,90,103,0,493.7917366027832,0.5614359378814697,T1_max
D_attack_flush,D_attack_flush_rep1_1779908779,sparse,1601,450,48316.0,87,33,152,69,109,0,494.84852170944214,0.25879645347595215,T1_max
D_attack_flush,D_attack_flush_rep1_1779909806,sparse,1688,369,48323.0,87,25,150,41,66,0,490.76390862464905,0.31534433364868164,T1_max
D_attack_flush,D_attack_flush_rep1_1779910808,sparse,1591,492,48079.0,85,42,165,93,107,0,480.6067898273468,0.7193930149078369,T1_max
D_attack_flush,D_attack_flush_rep2_1779776606,sparse,1493,347,48312.0,76,28,129,54,60,0,450.23367643356323,0.09190964698791504,T1_max
D_attack_flush,D_attack_flush_rep2_1779795493,rich,1522,448,48109.0,363,48,37,0,0,0,440.0075783729553,0.25185108184814453,T1_max
D_attack_flush,D_attack_flush_rep3_1779777599,sparse,1492,468,48304.0,98,45,138,85,102,0,446.5292544364929,0.5708732604980469,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,sparse,1526,370,48296.0,66,24,132,66,82,0,446.3694055080414,0.7790861129760742,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,sparse,1727,454,48312.0,66,20,159,91,118,0,495.3909695148468,0.019356966018676758,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,sparse,1651,507,48074.0,98,42,149,81,137,0,480.9942214488983,0.2854430675506592,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,sparse,1724,0,48274.0,0,0,0,0,0,0,492.2483789920807,inf,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,sparse,1736,513,48321.0,111,49,143,71,139,0,494.4914917945862,0.5423731803894043,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,sparse,1713,465,48302.0,108,41,141,67,108,0,494.6486487388611,0.7678101062774658,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,sparse,1669,513,48293.0,103,46,155,83,126,0,488.6486051082611,0.17082738876342773,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,sparse,1725,501,48135.0,117,57,147,66,114,0,485.82541060447693,0.48567938804626465,T1_max
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,sparse,1540,2,48297.0,0,1,1,0,0,0,441.90501141548157,1.6339025497436523,T1_max
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,sparse,1449,485,48301.0,84,37,150,89,125,0,451.3355724811554,0.5824489593505859,T1_max
F_attack_burst,F_attack_burst_rep1_1779782895,sparse,1558,321,48314.0,84,27,136,36,38,0,444.3356533050537,0.04231762886047363,T1_max
F_attack_burst,F_attack_burst_rep1_1779919045,sparse,1737,464,48146.0,95,45,154,88,82,0,491.962854385376,0.0642855167388916,T1_max
F_attack_burst,F_attack_burst_rep1_1779920089,sparse,1710,471,47810.0,82,37,160,75,117,0,490.9382131099701,0.14266180992126465,T1_max
F_attack_burst,F_attack_burst_rep1_1779921141,sparse,1664,201,48282.0,32,1,154,7,7,0,494.3531663417816,0.12640905380249023,T1_max
F_attack_burst,F_attack_burst_rep1_1779922178,sparse,1690,512,48297.0,105,47,147,89,124,0,493.17589139938354,0.405322790145874,T1_max
F_attack_burst,F_attack_burst_rep1_1779923207,sparse,1672,330,48290.0,74,51,0,80,125,0,495.2925651073456,0.651378870010376,T1_max
F_attack_burst,F_attack_burst_rep1_1779924218,sparse,1687,327,48123.0,72,39,5,90,121,0,491.8368535041809,2.4197864532470703,T1_max
F_attack_burst,F_attack_burst_rep1_1779925262,sparse,1620,225,48108.0,45,8,133,16,23,0,485.7189452648163,0.6184115409851074,T1_max
F_attack_burst,F_attack_burst_rep2_1779783887,sparse,1582,469,48232.0,73,33,143,97,123,0,446.89435338974,0.5261795520782471,T1_max
F_attack_burst,F_attack_burst_rep3_1779784878,sparse,1519,461,48047.0,98,39,136,81,107,0,446.5511169433594,0.47890186309814453,T1_max
A_idle,A_idle_rep100_1779812502,rich,1564,437,48305.0,362,75,0,0,0,0,447.90652108192444,inf,T2_p99
A_idle,A_idle_rep101_1779813494,rich,1533,468,48030.9,393,75,0,0,0,0,441.0840368270874,inf,T2_p99
A_idle,A_idle_rep102_1779814486,rich,1584,415,48085.65,348,67,0,0,0,0,450.78722071647644,inf,T2_p99
A_idle,A_idle_rep103_1779815470,rich,1537,164,48279.0,141,23,0,0,0,0,453.01601481437683,inf,T2_p99
A_idle,A_idle_rep104_1779816455,rich,1537,106,48322.02,91,15,0,0,0,0,448.08638429641724,inf,T2_p99
A_idle,A_idle_rep105_1779817412,rich,1547,308,48269.0,253,55,0,0,0,0,439.65822744369507,inf,T2_p99
A_idle,A_idle_rep106_1779818394,rich,1542,471,48106.0,399,72,0,0,0,0,442.7219715118408,inf,T2_p99
A_idle,A_idle_rep107_1779819402,rich,1534,465,48092.0,384,81,0,0,0,0,440.2585873603821,inf,T2_p99
A_idle,A_idle_rep108_1779820360,rich,1547,0,48121.0,0,0,0,0,0,0,446.6120960712433,inf,T2_p99
A_idle,A_idle_rep109_1779821454,rich,1761,467,48119.0,383,84,0,0,0,0,492.8585739135742,inf,T2_p99
A_idle,A_idle_rep10_1779805584,rich,1599,320,48326.0,275,45,0,0,0,0,444.49448919296265,inf,T2_p99
A_idle,A_idle_rep1_1779763627,rich,1593,1,48072.0,0,0,0,1,0,0,437.6029624938965,inf,T2_p99
A_idle,A_idle_rep1_1779764866,rich,1489,470,48064.0,97,65,0,117,191,0,443.06332087516785,inf,T2_p99
A_idle,A_idle_rep1_1779792575,rich,1550,467,48110.0,396,71,0,0,0,0,442.9143362045288,inf,T2_p99
A_idle,A_idle_rep2_1779765851,rich,1543,479,48290.0,82,55,0,134,208,0,443.6004045009613,inf,T2_p99
A_idle,A_idle_rep2_1779793556,rich,1533,462,48279.0,387,75,0,0,0,0,446.3375289440155,inf,T2_p99
A_idle,A_idle_rep3_1779766966,rich,1622,468,48299.0,68,49,0,148,203,0,445.6621115207672,inf,T2_p99
B_flow_install,B_flow_install_rep1_1779767967,rich,1495,341,48061.0,69,47,0,92,133,0,450.23384189605713,inf,T2_p99
B_flow_install,B_flow_install_rep2_1779768974,rich,1517,393,48058.06,82,57,0,109,145,0,446.65291690826416,inf,T2_p99
B_flow_install,B_flow_install_rep3_1779769963,rich,1593,1,48324.0,0,1,0,0,0,0,450.0884459018707,inf,T2_p99
C_ping_sustained,C_ping_sustained_rep1_1779772300,rich,1676,540,48072.0,100,67,0,158,215,0,502.42786169052124,inf,T2_p99
C_ping_sustained,C_ping_sustained_rep2_1779773392,rich,1709,520,48150.0,103,70,0,137,210,0,495.639041185379,inf,T2_p99
C_ping_sustained,C_ping_sustained_rep3_1779774602,rich,1650,0,48157.0,0,0,0,0,0,0,496.4184296131134,inf,T2_p99
D_attack_flush,D_attack_flush_rep10_1779803000,rich,1501,284,48077.0,243,17,24,0,0,0,441.1401252746582,0.08845901489257812,T2_p99
D_attack_flush,D_attack_flush_rep11_1779808057,rich,1525,393,48068.0,333,31,29,0,0,0,441.05113911628723,0.22173380851745605,T2_p99
D_attack_flush,D_attack_flush_rep1_1779775605,sparse,1548,352,48094.22,51,17,155,55,74,0,446.97479796409607,0.5079786777496338,T2_p99
D_attack_flush,D_attack_flush_rep1_1779794528,rich,1451,488,48060.28,417,45,26,0,0,0,445.5994279384613,0.26987743377685547,T2_p99
D_attack_flush,D_attack_flush_rep1_1779897245,rich,1611,505,48249.0,410,61,34,0,0,0,484.84301948547363,0.7310137748718262,T2_p99
D_attack_flush,D_attack_flush_rep1_1779898343,rich,1677,397,48258.0,320,39,38,0,0,0,486.55622005462646,0.5970337390899658,T2_p99
D_attack_flush,D_attack_flush_rep1_1779899387,rich,1645,510,48130.0,423,60,27,0,0,0,481.2320005893707,0.2765200138092041,T2_p99
D_attack_flush,D_attack_flush_rep1_1779900393,rich,1656,189,48095.86,156,0,33,0,0,0,482.78136706352234,1.0579731464385986,T2_p99
D_attack_flush,D_attack_flush_rep1_1779901468,rich,1645,519,48252.0,422,62,35,0,0,0,486.61102175712585,0.6194789409637451,T2_p99
D_attack_flush,D_attack_flush_rep1_1779902496,rich,1743,519,48121.0,440,50,29,0,0,0,492.8745684623718,0.006601572036743164,T2_p99
D_attack_flush,D_attack_flush_rep1_1779903540,rich,1690,518,48268.0,437,53,28,0,0,0,482.6039001941681,0.21721959114074707,T2_p99
D_attack_flush,D_attack_flush_rep1_1779904598,sparse,1644,510,48291.0,121,49,144,81,115,0,494.5570583343506,0.4243941307067871,T2_p99
D_attack_flush,D_attack_flush_rep1_1779905617,sparse,1686,185,45111.0,47,0,138,0,0,0,482.7057213783264,0.5915873050689697,T2_p99
D_attack_flush,D_attack_flush_rep1_1779906668,sparse,1668,505,48268.0,99,25,142,94,145,0,481.37711477279663,0.23378634452819824,T2_p99
D_attack_flush,D_attack_flush_rep1_1779907752,sparse,1716,509,48054.86,115,51,150,90,103,0,493.7917366027832,0.5614359378814697,T2_p99
D_attack_flush,D_attack_flush_rep1_1779908779,sparse,1601,450,48316.0,87,33,152,69,109,0,494.84852170944214,0.25879645347595215,T2_p99
D_attack_flush,D_attack_flush_rep1_1779909806,sparse,1688,373,48316.0,87,25,150,42,69,0,490.76390862464905,0.31534433364868164,T2_p99
D_attack_flush,D_attack_flush_rep1_1779910808,sparse,1591,492,48076.0,85,42,165,93,107,0,480.6067898273468,0.7193930149078369,T2_p99
D_attack_flush,D_attack_flush_rep2_1779776606,sparse,1493,386,48300.0,88,33,129,63,73,0,450.23367643356323,0.09190964698791504,T2_p99
D_attack_flush,D_attack_flush_rep2_1779795493,rich,1522,448,48107.0,363,48,37,0,0,0,440.0075783729553,0.25185108184814453,T2_p99
D_attack_flush,D_attack_flush_rep3_1779777599,sparse,1492,468,48298.78,98,45,138,85,102,0,446.5292544364929,0.5708732604980469,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,sparse,1526,370,48296.0,66,24,132,66,82,0,446.3694055080414,0.7790861129760742,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,sparse,1727,486,48302.36,68,22,159,99,138,0,495.3909695148468,0.019356966018676758,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,sparse,1651,507,48074.0,98,42,149,81,137,0,480.9942214488983,0.2854430675506592,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,sparse,1724,35,48268.0,9,0,26,0,0,0,492.2483789920807,0.3904728889465332,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,sparse,1736,513,48319.0,111,49,143,71,139,0,494.4914917945862,0.5423731803894043,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,sparse,1713,490,48293.0,112,46,141,74,117,0,494.6486487388611,0.7678101062774658,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,sparse,1669,513,48292.0,103,46,155,83,126,0,488.6486051082611,0.17082738876342773,T2_p99
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,sparse,1725,501,48131.0,117,57,147,66,114,0,485.82541060447693,0.48567938804626465,T2_p99
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,sparse,1540,133,48289.81,27,3,90,4,9,0,441.90501141548157,0.5826196670532227,T2_p99
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,sparse,1449,485,48297.0,84,37,150,89,125,0,451.3355724811554,0.5824489593505859,T2_p99
F_attack_burst,F_attack_burst_rep1_1779782895,sparse,1558,390,48307.0,100,42,136,50,62,0,444.3356533050537,0.04231762886047363,T2_p99
F_attack_burst,F_attack_burst_rep1_1779919045,sparse,1737,464,48146.0,95,45,154,88,82,0,491.962854385376,0.0642855167388916,T2_p99
F_attack_burst,F_attack_burst_rep1_1779920089,sparse,1710,490,47800.0,86,40,160,79,125,0,490.9382131099701,0.14266180992126465,T2_p99
F_attack_burst,F_attack_burst_rep1_1779921141,sparse,1664,270,48275.0,44,11,154,26,35,0,494.3531663417816,0.12640905380249023,T2_p99
F_attack_burst,F_attack_burst_rep1_1779922178,sparse,1690,512,48291.96,105,47,147,89,124,0,493.17589139938354,0.405322790145874,T2_p99
F_attack_burst,F_attack_burst_rep1_1779923207,sparse,1672,330,48289.86,74,51,0,80,125,0,495.2925651073456,0.651378870010376,T2_p99
