scenario,rep_id,audit_era,n_test_iters,n_flagged,threshold,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,first_lat_s,treatment
F_attack_burst,F_attack_burst_rep1_1779924218,sparse,1687,333,48118.49,72,39,11,90,121,0,491.8368535041809,2.4197864532470703,T2_p99
F_attack_burst,F_attack_burst_rep1_1779925262,sparse,1620,361,48097.06,76,17,148,42,78,0,485.7189452648163,0.6184115409851074,T2_p99
F_attack_burst,F_attack_burst_rep2_1779783887,sparse,1582,469,48232.0,73,33,143,97,123,0,446.89435338974,0.5261795520782471,T2_p99
F_attack_burst,F_attack_burst_rep3_1779784878,sparse,1519,470,48041.0,98,39,136,83,114,0,446.5511169433594,0.47890186309814453,T2_p99
A_idle,A_idle_rep100_1779812502,rich,1564,446,48298.0,369,77,0,0,0,0,447.90652108192444,inf,T3_p95
A_idle,A_idle_rep101_1779813494,rich,1533,468,48027.0,393,75,0,0,0,0,441.0840368270874,inf,T3_p95
A_idle,A_idle_rep102_1779814486,rich,1584,478,48069.0,403,75,0,0,0,0,450.78722071647644,inf,T3_p95
A_idle,A_idle_rep103_1779815470,rich,1537,304,48272.0,257,47,0,0,0,0,453.01601481437683,inf,T3_p95
A_idle,A_idle_rep104_1779816455,rich,1537,148,48318.0,124,24,0,0,0,0,448.08638429641724,inf,T3_p95
A_idle,A_idle_rep105_1779817412,rich,1547,324,48263.0,268,56,0,0,0,0,439.65822744369507,inf,T3_p95
A_idle,A_idle_rep106_1779818394,rich,1542,471,48099.0,399,72,0,0,0,0,442.7219715118408,inf,T3_p95
A_idle,A_idle_rep107_1779819402,rich,1534,465,48088.0,384,81,0,0,0,0,440.2585873603821,inf,T3_p95
A_idle,A_idle_rep108_1779820360,rich,1547,0,48121.0,0,0,0,0,0,0,446.6120960712433,inf,T3_p95
A_idle,A_idle_rep109_1779821454,rich,1761,517,48110.0,424,93,0,0,0,0,492.8585739135742,inf,T3_p95
A_idle,A_idle_rep10_1779805584,rich,1599,399,48317.0,337,62,0,0,0,0,444.49448919296265,inf,T3_p95
A_idle,A_idle_rep1_1779763627,rich,1593,8,48067.0,2,0,0,4,2,0,437.6029624938965,inf,T3_p95
A_idle,A_idle_rep1_1779764866,rich,1489,470,48052.0,97,65,0,117,191,0,443.06332087516785,inf,T3_p95
A_idle,A_idle_rep1_1779792575,rich,1550,467,48097.0,396,71,0,0,0,0,442.9143362045288,inf,T3_p95
A_idle,A_idle_rep2_1779765851,rich,1543,479,48285.0,82,55,0,134,208,0,443.6004045009613,inf,T3_p95
A_idle,A_idle_rep2_1779793556,rich,1533,465,48278.0,390,75,0,0,0,0,446.3375289440155,inf,T3_p95
A_idle,A_idle_rep3_1779766966,rich,1622,468,48298.0,68,49,0,148,203,0,445.6621115207672,inf,T3_p95
B_flow_install,B_flow_install_rep1_1779767967,rich,1495,406,48049.0,80,52,0,111,163,0,450.23384189605713,inf,T3_p95
B_flow_install,B_flow_install_rep2_1779768974,rich,1517,405,48050.1,85,59,0,114,147,0,446.65291690826416,inf,T3_p95
B_flow_install,B_flow_install_rep3_1779769963,rich,1593,81,48318.0,8,8,0,32,33,0,450.0884459018707,inf,T3_p95
C_ping_sustained,C_ping_sustained_rep1_1779772300,rich,1676,540,48062.0,100,67,0,158,215,0,502.42786169052124,inf,T3_p95
C_ping_sustained,C_ping_sustained_rep2_1779773392,rich,1709,520,48141.0,103,70,0,137,210,0,495.639041185379,inf,T3_p95
C_ping_sustained,C_ping_sustained_rep3_1779774602,rich,1650,0,48148.0,0,0,0,0,0,0,496.4184296131134,inf,T3_p95
D_attack_flush,D_attack_flush_rep10_1779803000,rich,1501,289,48076.0,247,18,24,0,0,0,441.1401252746582,0.08845901489257812,T3_p95
D_attack_flush,D_attack_flush_rep11_1779808057,rich,1525,419,48061.0,353,37,29,0,0,0,441.05113911628723,0.22173380851745605,T3_p95
D_attack_flush,D_attack_flush_rep1_1779775605,sparse,1548,385,48081.0,55,23,155,64,88,0,446.97479796409607,0.5079786777496338,T3_p95
D_attack_flush,D_attack_flush_rep1_1779794528,rich,1451,488,48055.0,417,45,26,0,0,0,445.5994279384613,0.26987743377685547,T3_p95
D_attack_flush,D_attack_flush_rep1_1779897245,rich,1611,508,48242.0,413,61,34,0,0,0,484.84301948547363,0.7310137748718262,T3_p95
D_attack_flush,D_attack_flush_rep1_1779898343,rich,1677,447,48250.25,363,46,38,0,0,0,486.55622005462646,0.5970337390899658,T3_p95
D_attack_flush,D_attack_flush_rep1_1779899387,rich,1645,510,48119.0,423,60,27,0,0,0,481.2320005893707,0.2765200138092041,T3_p95
D_attack_flush,D_attack_flush_rep1_1779900393,rich,1656,191,48088.0,158,0,33,0,0,0,482.78136706352234,1.0579731464385986,T3_p95
D_attack_flush,D_attack_flush_rep1_1779901468,rich,1645,519,48247.0,422,62,35,0,0,0,486.61102175712585,0.6194789409637451,T3_p95
D_attack_flush,D_attack_flush_rep1_1779902496,rich,1743,519,48110.0,440,50,29,0,0,0,492.8745684623718,0.006601572036743164,T3_p95
D_attack_flush,D_attack_flush_rep1_1779903540,rich,1690,518,48267.0,437,53,28,0,0,0,482.6039001941681,0.21721959114074707,T3_p95
D_attack_flush,D_attack_flush_rep1_1779904598,sparse,1644,510,48284.0,121,49,144,81,115,0,494.5570583343506,0.4243941307067871,T3_p95
D_attack_flush,D_attack_flush_rep1_1779905617,sparse,1686,211,45105.0,58,5,138,5,5,0,482.7057213783264,0.5915873050689697,T3_p95
D_attack_flush,D_attack_flush_rep1_1779906668,sparse,1668,505,48266.0,99,25,142,94,145,0,481.37711477279663,0.23378634452819824,T3_p95
D_attack_flush,D_attack_flush_rep1_1779907752,sparse,1716,509,48046.0,115,51,150,90,103,0,493.7917366027832,0.5614359378814697,T3_p95
D_attack_flush,D_attack_flush_rep1_1779908779,sparse,1601,470,48310.0,92,36,152,73,117,0,494.84852170944214,0.25879645347595215,T3_p95
D_attack_flush,D_attack_flush_rep1_1779909806,sparse,1688,373,48316.0,87,25,150,42,69,0,490.76390862464905,0.31534433364868164,T3_p95
D_attack_flush,D_attack_flush_rep1_1779910808,sparse,1591,492,48075.0,85,42,165,93,107,0,480.6067898273468,0.7193930149078369,T3_p95
D_attack_flush,D_attack_flush_rep2_1779776606,sparse,1493,407,48294.0,92,37,129,70,79,0,450.23367643356323,0.09190964698791504,T3_p95
D_attack_flush,D_attack_flush_rep2_1779795493,rich,1522,448,48107.0,363,48,37,0,0,0,440.0075783729553,0.25185108184814453,T3_p95
D_attack_flush,D_attack_flush_rep3_1779777599,sparse,1492,468,48291.0,98,45,138,85,102,0,446.5292544364929,0.5708732604980469,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,sparse,1526,425,48289.5,74,30,132,81,108,0,446.3694055080414,0.7790861129760742,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,sparse,1727,499,48290.0,69,22,159,104,145,0,495.3909695148468,0.019356966018676758,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,sparse,1651,507,48066.0,98,42,149,81,137,0,480.9942214488983,0.2854430675506592,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,sparse,1724,178,48258.0,39,1,121,7,10,0,492.2483789920807,0.3904728889465332,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,sparse,1736,513,48311.0,111,49,143,71,139,0,494.4914917945862,0.5423731803894043,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,sparse,1713,499,48287.0,113,46,141,78,121,0,494.6486487388611,0.7678101062774658,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,sparse,1669,516,48285.0,103,48,155,84,126,0,488.6486051082611,0.17082738876342773,T3_p95
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,sparse,1725,501,48118.0,117,57,147,66,114,0,485.82541060447693,0.48567938804626465,T3_p95
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,sparse,1540,205,48285.0,42,10,111,14,28,0,441.90501141548157,0.5826196670532227,T3_p95
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,sparse,1449,485,48293.0,84,37,150,89,125,0,451.3355724811554,0.5824489593505859,T3_p95
F_attack_burst,F_attack_burst_rep1_1779782895,sparse,1558,418,48301.1,108,46,136,57,71,0,444.3356533050537,0.04231762886047363,T3_p95
F_attack_burst,F_attack_burst_rep1_1779919045,sparse,1737,467,48145.0,96,45,154,88,84,0,491.962854385376,0.0642855167388916,T3_p95
F_attack_burst,F_attack_burst_rep1_1779920089,sparse,1710,497,47793.0,87,42,160,80,128,0,490.9382131099701,0.14266180992126465,T3_p95
F_attack_burst,F_attack_burst_rep1_1779921141,sparse,1664,314,48272.0,56,16,154,37,51,0,494.3531663417816,0.12640905380249023,T3_p95
F_attack_burst,F_attack_burst_rep1_1779922178,sparse,1690,512,48281.45,105,47,147,89,124,0,493.17589139938354,0.405322790145874,T3_p95
F_attack_burst,F_attack_burst_rep1_1779923207,sparse,1672,381,48281.6,84,51,41,80,125,0,495.2925651073456,0.651378870010376,T3_p95
F_attack_burst,F_attack_burst_rep1_1779924218,sparse,1687,391,48110.0,83,39,58,90,121,0,491.8368535041809,2.4197864532470703,T3_p95
F_attack_burst,F_attack_burst_rep1_1779925262,sparse,1620,472,48082.0,100,40,149,58,125,0,485.7189452648163,0.6184115409851074,T3_p95
F_attack_burst,F_attack_burst_rep2_1779783887,sparse,1582,469,48230.9,73,33,143,97,123,0,446.89435338974,0.5261795520782471,T3_p95
F_attack_burst,F_attack_burst_rep3_1779784878,sparse,1519,470,48031.9,98,39,136,83,114,0,446.5511169433594,0.47890186309814453,T3_p95
A_idle,A_idle_rep100_1779812502,rich,1564,0,87491.16644368968,0,0,0,0,0,0,447.90652108192444,inf,T4_z3
A_idle,A_idle_rep101_1779813494,rich,1533,0,90164.96230760196,0,0,0,0,0,0,441.0840368270874,inf,T4_z3
A_idle,A_idle_rep102_1779814486,rich,1584,0,86912.08863931816,0,0,0,0,0,0,450.78722071647644,inf,T4_z3
A_idle,A_idle_rep103_1779815470,rich,1537,0,88361.5505778225,0,0,0,0,0,0,453.01601481437683,inf,T4_z3
A_idle,A_idle_rep104_1779816455,rich,1537,0,89258.82629011266,0,0,0,0,0,0,448.08638429641724,inf,T4_z3
A_idle,A_idle_rep105_1779817412,rich,1547,0,88045.73517758267,0,0,0,0,0,0,439.65822744369507,inf,T4_z3
A_idle,A_idle_rep106_1779818394,rich,1542,0,86922.77799267403,0,0,0,0,0,0,442.7219715118408,inf,T4_z3
A_idle,A_idle_rep107_1779819402,rich,1534,0,88666.23634272095,0,0,0,0,0,0,440.2585873603821,inf,T4_z3
A_idle,A_idle_rep108_1779820360,rich,1547,0,87873.77753716162,0,0,0,0,0,0,446.6120960712433,inf,T4_z3
A_idle,A_idle_rep109_1779821454,rich,1761,0,87727.89202316022,0,0,0,0,0,0,492.8585739135742,inf,T4_z3
A_idle,A_idle_rep10_1779805584,rich,1599,0,89568.93399465874,0,0,0,0,0,0,444.49448919296265,inf,T4_z3
A_idle,A_idle_rep1_1779763627,rich,1593,0,86807.06250884895,0,0,0,0,0,0,437.6029624938965,inf,T4_z3
A_idle,A_idle_rep1_1779764866,rich,1489,0,88658.80839673147,0,0,0,0,0,0,443.06332087516785,inf,T4_z3
A_idle,A_idle_rep1_1779792575,rich,1550,0,88183.89264516695,0,0,0,0,0,0,442.9143362045288,inf,T4_z3
A_idle,A_idle_rep2_1779765851,rich,1543,0,88889.72079165097,0,0,0,0,0,0,443.6004045009613,inf,T4_z3
A_idle,A_idle_rep2_1779793556,rich,1533,0,89087.32706264901,0,0,0,0,0,0,446.3375289440155,inf,T4_z3
A_idle,A_idle_rep3_1779766966,rich,1622,0,87496.79714966138,0,0,0,0,0,0,445.6621115207672,inf,T4_z3
B_flow_install,B_flow_install_rep1_1779767967,rich,1495,0,88498.38069215318,0,0,0,0,0,0,450.23384189605713,inf,T4_z3
B_flow_install,B_flow_install_rep2_1779768974,rich,1517,0,88797.15023207769,0,0,0,0,0,0,446.65291690826416,inf,T4_z3
B_flow_install,B_flow_install_rep3_1779769963,rich,1593,0,89726.28692199718,0,0,0,0,0,0,450.0884459018707,inf,T4_z3
C_ping_sustained,C_ping_sustained_rep1_1779772300,rich,1676,0,89284.86043307208,0,0,0,0,0,0,502.42786169052124,inf,T4_z3
C_ping_sustained,C_ping_sustained_rep2_1779773392,rich,1709,0,87648.38438301776,0,0,0,0,0,0,495.639041185379,inf,T4_z3
C_ping_sustained,C_ping_sustained_rep3_1779774602,rich,1650,0,88290.55705026051,0,0,0,0,0,0,496.4184296131134,inf,T4_z3
D_attack_flush,D_attack_flush_rep10_1779803000,rich,1501,0,88153.89620152429,0,0,0,0,0,0,441.1401252746582,inf,T4_z3
D_attack_flush,D_attack_flush_rep11_1779808057,rich,1525,0,88436.30840124613,0,0,0,0,0,0,441.05113911628723,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779775605,sparse,1548,0,86519.2364400511,0,0,0,0,0,0,446.97479796409607,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779794528,rich,1451,0,87385.27617178856,0,0,0,0,0,0,445.5994279384613,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779897245,rich,1611,0,87709.16436214997,0,0,0,0,0,0,484.84301948547363,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779898343,rich,1677,0,86566.54691140202,0,0,0,0,0,0,486.55622005462646,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779899387,rich,1645,0,88881.12167607645,0,0,0,0,0,0,481.2320005893707,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779900393,rich,1656,0,87628.02248950292,0,0,0,0,0,0,482.78136706352234,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779901468,rich,1645,0,87849.58393602728,0,0,0,0,0,0,486.61102175712585,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779902496,rich,1743,0,88289.08095445464,0,0,0,0,0,0,492.8745684623718,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779903540,rich,1690,0,86530.06559590765,0,0,0,0,0,0,482.6039001941681,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779904598,sparse,1644,0,88104.08244421642,0,0,0,0,0,0,494.5570583343506,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779905617,sparse,1686,0,83093.12434159665,0,0,0,0,0,0,482.7057213783264,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779906668,sparse,1668,0,88861.47821871877,0,0,0,0,0,0,481.37711477279663,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779907752,sparse,1716,0,87741.64892712088,0,0,0,0,0,0,493.7917366027832,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779908779,sparse,1601,0,87822.43039129567,0,0,0,0,0,0,494.84852170944214,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779909806,sparse,1688,0,88387.94672165517,0,0,0,0,0,0,490.76390862464905,inf,T4_z3
D_attack_flush,D_attack_flush_rep1_1779910808,sparse,1591,0,86844.37252378049,0,0,0,0,0,0,480.6067898273468,inf,T4_z3
D_attack_flush,D_attack_flush_rep2_1779776606,sparse,1493,0,88118.46651884954,0,0,0,0,0,0,450.23367643356323,inf,T4_z3
D_attack_flush,D_attack_flush_rep2_1779795493,rich,1522,0,88194.77726591316,0,0,0,0,0,0,440.0075783729553,inf,T4_z3
D_attack_flush,D_attack_flush_rep3_1779777599,sparse,1492,0,88206.12873535095,0,0,0,0,0,0,446.5292544364929,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,sparse,1526,0,87808.05730396503,0,0,0,0,0,0,446.3694055080414,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,sparse,1727,0,87883.82356303195,0,0,0,0,0,0,495.3909695148468,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,sparse,1651,0,89253.70961609545,0,0,0,0,0,0,480.9942214488983,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,sparse,1724,0,89302.76600314991,0,0,0,0,0,0,492.2483789920807,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,sparse,1736,0,88581.84814544537,0,0,0,0,0,0,494.4914917945862,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,sparse,1713,0,88150.64329684516,0,0,0,0,0,0,494.6486487388611,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,sparse,1669,0,87634.46546385417,0,0,0,0,0,0,488.6486051082611,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,sparse,1725,0,87213.04921973302,0,0,0,0,0,0,485.82541060447693,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,sparse,1540,0,87663.98856195112,0,0,0,0,0,0,441.90501141548157,inf,T4_z3
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,sparse,1449,0,87803.54844516833,0,0,0,0,0,0,451.3355724811554,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779782895,sparse,1558,0,88391.72990083843,0,0,0,0,0,0,444.3356533050537,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779919045,sparse,1737,0,87832.45117229274,0,0,0,0,0,0,491.962854385376,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779920089,sparse,1710,0,87298.17395215377,0,0,0,0,0,0,490.9382131099701,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779921141,sparse,1664,0,89684.73676295708,0,0,0,0,0,0,494.3531663417816,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779922178,sparse,1690,0,86857.09060593619,0,0,0,0,0,0,493.17589139938354,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779923207,sparse,1672,0,88299.89836087768,0,0,0,0,0,0,495.2925651073456,inf,T4_z3
F_attack_burst,F_attack_burst_rep1_1779924218,sparse,1687,0,87125.26554718544,0,0,0,0,0,0,491.8368535041809,inf,T4_z3
